scenario,zone_id,timestep,clps
surge,zone_6,61,0.554
surge,zone_6,62,0.554
surge,zone_6,63,0.554
surge,zone_6,64,0.554
surge,zone_6,65,0.554
surge,zone_6,66,0.554
surge,zone_6,67,0.554
surge,zone_6,68,0.554
surge,zone_6,69,0.554
surge,zone_6,70,0.554
surge,zone_6,71,0.554
surge,zone_6,72,0.554
surge,zone_6,73,0.554
surge,zone_6,74,0.554
surge,zone_6,75,0.554
surge,zone_6,76,0.554
surge,zone_6,77,0.554
surge,zone_6,78,0.554
surge,zone_6,79,0.554
surge,zone_6,80,0.61
surge,zone_6,81,0.61
surge,zone_6,82,0.61
surge,zone_6,83,0.61
surge,zone_6,84,0.61
surge,zone_6,85,0.61
surge,zone_6,86,0.61
surge,zone_6,87,0.61
surge,zone_6,88,0.61
surge,zone_6,89,0.61
surge,zone_6,90,0.61
surge,zone_6,91,0.61
surge,zone_6,92,0.61
surge,zone_6,93,0.61
surge,zone_6,94,0.61
surge,zone_6,95,0.61
surge,zone_7,0,0.879
surge,zone_7,1,0.878
surge,zone_7,2,0.878
surge,zone_7,3,0.878
surge,zone_7,4,0.878
surge,zone_7,5,0.878
surge,zone_7,6,0.878
surge,zone_7,7,0.878
surge,zone_7,8,0.878
surge,zone_7,9,0.878
surge,zone_7,10,0.878
surge,zone_7,11,0.878
surge,zone_7,12,0.878
surge,zone_7,13,0.878
surge,zone_7,14,0.878
surge,zone_7,15,0.878
surge,zone_7,16,0.878
surge,zone_7,17,0.878
surge,zone_7,18,0.878
surge,zone_7,19,0.878
surge,zone_7,20,0.879
surge,zone_7,21,0.878
surge,zone_7,22,0.878
surge,zone_7,23,0.878
surge,zone_7,24,0.755
surge,zone_7,25,0.755
surge,zone_7,26,0.755
surge,zone_7,27,0.755
surge,zone_7,28,0.755
surge,zone_7,29,0.755
surge,zone_7,30,0.755
surge,zone_7,31,0.755
surge,zone_7,32,0.688
surge,zone_7,33,0.688
surge,zone_7,34,0.688
surge,zone_7,35,0.688
surge,zone_7,36,0.688
surge,zone_7,37,0.688
surge,zone_7,38,0.688
surge,zone_7,39,0.688
surge,zone_7,40,0.688
surge,zone_7,41,0.688
surge,zone_7,42,0.688
surge,zone_7,43,0.688
surge,zone_7,44,0.688
surge,zone_7,45,0.688
surge,zone_7,46,0.688
surge,zone_7,47,0.688
surge,zone_7,48,0.688
surge,zone_7,49,0.688
surge,zone_7,50,0.688
