segment_id,start_lon,start_lat,end_lon,end_lat,material,diameter_m,length_m,zone_id,pipeline_type,data_quality_flag,assumed_age_years,design_lifespan_years,hw_c_value
234,75.845122,17.701462,75.850249,17.700903,PVC,0.05,549.5372,zone_1,Distribution Pipeline,complete,10,25,150
235,75.849217,17.71698,75.848091,17.716914,PVC,0.05,127.07625,zone_1,Distribution Pipeline,complete,10,25,150
236,75.850395,17.716432,75.849925,17.715794,PVC,0.05,88.15564,zone_1,Distribution Pipeline,complete,10,25,150
237,75.89377,17.645794,75.893432,17.645601,PVC,0.05,42.46967,zone_6,Distribution Pipeline,complete,10,25,150
238,75.910308,17.637866,75.910378,17.636924,PVC,0.05,104.52161,zone_5,Distribution Pipeline,complete,10,25,150
239,75.910308,17.637866,75.910299,17.638815,PVC,0.05,104.99109,zone_5,Distribution Pipeline,complete,10,25,150
240,75.909997,17.637888,75.909988,17.638708,PVC,0.05,90.78698,zone_5,Distribution Pipeline,complete,10,25,150
241,75.909684,17.63791,75.909677,17.638787,PVC,0.05,97.08866,zone_5,Distribution Pipeline,complete,10,25,150
242,75.909608,17.637915,75.909648,17.63732,PVC,0.05,66.06005,zone_5,Distribution Pipeline,complete,10,25,150
243,75.90991,17.637894,75.909944,17.637209,PVC,0.05,75.85841,zone_5,Distribution Pipeline,complete,10,25,150
244,75.90933,17.637936,75.909329,17.637511,PVC,0.05,46.96253,zone_5,Distribution Pipeline,complete,10,25,150
245,75.933697,17.613057,75.933438,17.612877,CC,0.065,29.76015,zone_4,Distribution Pipeline,complete,40,60,90
246,75.896315,17.622383,75.896379,17.623143,GI,0.065,84.42196,zone_5,Distribution Pipeline,complete,30,40,100
247,75.848574,17.716226,75.847915,17.716561,GI,0.065,82.23651,zone_1,Distribution Pipeline,complete,30,40,100
248,75.848207,17.71646,75.847727,17.717443,GI,0.065,149.56258,zone_1,Distribution Pipeline,complete,30,40,100
249,75.933404,17.613033,75.93337,17.612416,GI,0.065,68.3344,zone_4,Distribution Pipeline,complete,30,40,100
250,75.929366,17.617765,75.929373,17.61704,GI,0.065,106.5231,zone_5,Distribution Pipeline,complete,30,40,100
251,75.898087,17.680092,75.898039,17.679449,GI,0.075,71.31212,zone_1,Distribution Pipeline,complete,30,40,100
252,75.887457,17.646524,75.888746,17.645848,GI,0.075,248.16329,zone_5,Distribution Pipeline,complete,30,40,100
253,75.888264,17.646114,75.88732,17.647057,GI,0.075,182.51807,zone_6,Distribution Pipeline,complete,30,40,100
254,75.925627,17.642243,75.925058,17.642106,GI,0.075,62.34779,zone_5,Distribution Pipeline,complete,30,40,100
255,75.922318,17.637875,75.923235,17.63792,GI,0.075,97.41445,zone_5,Distribution Pipeline,complete,30,40,100
256,75.922314,17.638135,75.923232,17.638171,GI,0.075,97.45568,zone_5,Distribution Pipeline,complete,30,40,100
257,75.929206,17.610283,75.929247,17.61001,CC,0.05,30.78011,zone_5,Distribution Pipeline,complete,40,60,90
258,75.877258,17.703303,75.877566,17.703235,PVC,0.075,33.53071,zone_1,Distribution Pipeline,complete,10,25,150
259,75.877566,17.703235,75.877936,17.703144,PVC,0.075,40.55453,zone_1,Distribution Pipeline,complete,10,25,150
260,75.877936,17.703144,75.878235,17.703103,PVC,0.075,32.06925,zone_1,Distribution Pipeline,complete,10,25,150
261,75.878681,17.703063,75.87912,17.703055,PVC,0.075,46.55606,zone_1,Distribution Pipeline,complete,10,25,150
